developer,avg_price
Suomen Kuljetusturva Oy,421.99
SideFX,209.99
YoYo Games Ltd.,162.49
Pixel Wonder,154.99
3Dflow SRL,154.99
Capt McCay Soft,154.99
Capt. McCay Soft,154.99
Chroma Coda,98.99
CyberLink,79.99
Knife Edge Software,78.99
Apeirogon Games,77.89
VRSpec Team,75.99
Aartform,75.99
Matt Workman,69.99
UNBALANCE Corporation,62.99
KADOKAWA;Yoji Ojima,60.99
Wingware,60.99
2by3 Games,60.99
UNBALANCE Corporation;Rémi Coulom SAS,60.99
Pilgway,59.89
Ambiera e.U.,55.99
Frank Gallinsky;Yuri Bechthold,54.99
Laminar Research,54.99
SmileBoom Co.Ltd.,52.99
BANDAI NAMCO Studios;Dimps Corporation,49.99
Ubisoft Montreal;Red Storm;Ubisoft Shanghai;Ubisoft Toronto;Ubisoft Kiev,49.99
Ivory Tower,49.99
Byking Inc.,49.99
Ubisoft San Francisco,49.99
BANDAI NAMCO Studios,49.99
Level-5,49.99
FURYU Corporation;Engine Software BV,49.99
Ubisoft Quebec;Ubisoft Montreal;Ubisoft Bucharest;Ubisoft Singapore;Ubisoft Montpellier;Ubisoft Kiev;Ubisoft Shanghai,49.99
SoftWeir Inc.,46.49
SystemSoft Alpha Corporation,46.49
SapphireSoft,46.49
Aksys Games;TOYBOX lnc.;Picola Inc.,46.49
nattou.org,45.0
Eidos-Montréal;Crystal Dynamics;Nixxes software,44.99
BrashMonkey,44.99
Gunfire Games,44.99
Studio Wildcard;Instinct Games;Efecto Studios;Virtual Basement LLC,44.99
Treyarch;Aspyr (Mac),44.99
"Cypress Inheritance, LLC",44.99
HB Studios Multimedia Ltd.,44.99
Codemasters;Feral Interactive (Mac);Feral Interactive (Linux),44.99
Code Force,44.98
Sledgehammer Games;Raven Software,42.49
Ubisoft Paris;Ubisoft Annecy;Ubisoft Bucharest;Ubisoft Montpellier;Ubisoft Milan;Reflections;Ubisoft Belgrade,41.99
Ubisoft Paris;Ubisoft Pune,41.99
Breakpoint,39.99
Remal IT,39.99
"ILINX, Inc.",39.99
Crystal Dynamics;Eidos-Montréal;Feral Interactive (Mac);Feral Interactive (Linux);Nixxes software,39.99
BANDAI NAMCO Studio;SHIFT;QLOC,39.99
CyberConnect2,39.99
"CRAFTS & MEISTER Co., Ltd.",39.99
Grimlore Games;THQ Nordic,39.99
"FromSoftware, Inc.",39.99
CREATIVE ASSEMBLY;Feral Interactive (Linux);Feral Interactive (Mac),39.99
QLOC;DIMPS,39.99
Kite Games,39.99
trasnatech,39.99
ARTDINK CORPORATION,39.99
Codemasters;Feral Interactive (Mac),39.99
"GANBARION Co., Ltd.",39.99
Visual Concepts,39.99
AQURIA,39.99
Gradoservice,39.99
Soleil Ltd.,39.99
1C Game Studios;777 Studios,39.99
"Dimps Corporation;SAFARI GAMES Co., Ltd.",39.99
Wicked Witch Software,39.97
Leadwerks Software,39.495
SNK CORPORATION;Abstraction Games,38.99
Bugbear,38.99
"Visual Concepts;Yuke's Co., LTD",38.74
The Game Creators,37.99
Ubisoft Montreal;Ubisoft Kiev;Ubisoft Shanghai,37.99
On Target Simulations,36.99
KADOKAWA,35.99
"Monolith Productions, Inc.;Timegate",35.96
Clickteam,35.839999999999996
DIMPS,35.656666666666666
PGN Inc,34.99333333333333
Hangar 13;Aspyr (Mac),34.99
QLOC;BANDAI NAMCO Studios Inc.,34.99
Playtonic Games,34.99
"Orbus Online, LLC",34.99
Black Sheep Studio,34.99
"APLUS Co., Ltd",34.99
Contours,34.99
Vicarious Visions;Iron Galaxy,34.99
KT Racing,34.99
Owlcat Games,34.99
Sonic Team;Hardlight,34.99
Raven Software;Beenox,34.99
Marvelous Inc.,34.99
Totem games,34.95
"Ubisoft Quebec, in collaboration with Ubisoft Annecy, Bucharest, Kiev, Montreal, Montpellier, Shanghai, Singapore, Sofia, Toronto studios",33.99
Limbic Entertainment,33.32333333333333
Firaxis Games;Aspyr (Mac);Aspyr (Linux),33.32333333333333
Digital Eclipse,32.99
PF3D,32.99
BigCode Games Pvt Ltd,32.99
Campfire Technology LLC,32.99
Experience,32.99
Tokyo RPG Factory,32.49
Snail Games,31.99
Waffle,31.99
Infinity Ward,31.656666666666666
FIRST_UKRAINIAN,31.630000000000003
3rdEye,30.99
"Future Tech Lab Co.,Ltd.",30.99
Planetary Annihilation Inc,30.99
Laplacian,30.99
