developer,count
Choice of Games,94
"KOEI TECMO GAMES CO., LTD.",72
Ripknot Systems,62
Laush Dmitriy Sergeevich,51
"\"Nikita \"\"Ghost_RUS\"\"\"",50
Dexion Games,45
RewindApp,43
Hosted Games,42
Blender Games,40
For Kids,36
Humongous Entertainment,36
EnsenaSoft,35
Eipix Entertainment,32
Nekyau Games,32
Warfare Studios,31
HeR Interactive,30
MumboJumbo,29
Creobit,28
ERS G Studios,28
HexWar Games,27
Sly,26
Valve,26
Milestone S.r.l.,25
Square Enix,25
DRUNKEN APES,25
Winter Wolves,24
Arc System Works,23
Red Dolphin Games,23
United Independent Entertainment GmbH,22
Garnudo Games,22
CSM,21
Snkl Studio,21
LucasArts,21
Quiet River,21
Winged Cloud,21
Frontwing,21
FIVE-BN GAMES,20
Vyacheslav Shilikhin,19
Sacada,19
Elephant Games,19
Just1337 Studio,19
Daedalic Entertainment,19
"MicroProse Software, Inc",19
VIS-Games,19
Ubisoft Montreal,19
Night Dreams Studio,19
id Software,18
Boogygames Studios,18
baKno Games,18
Bullid Games,18
Anatoliy Loginovskikh,18
LillyWelland inc.,17
"Jackbox Games, Inc.",17
Primitive Studio,17
Falco Software,17
Team17 Digital Ltd,16
Artifex Mundi,16
FreezeNova,16
Bohemia Interactive,16
Cyanide Studio,16
Realore,16
Gogii Games,16
Nihon Falcom,16
Alawar Entertainment,16
Aldorlea Games,16
SharkGame,16
AFBIK Studio,16
Wonderbox Games,15
Spiderweb Software,15
"CAPCOM Co., Ltd.",15
Cateia Games,15
XiNFiNiTY Games,15
b-alive gmbh,15
NedoStudio,15
Tero Lunkka,14
David Mulder,14
Racing Bros,14
DL Softworks,14
Sapphire Dragon Productions,14
Big Fish Games,14
azimut team,14
10tons Ltd,14
Andy Jurko,14
Capcom,14
NovaLogic,14
ebi-hime,14
Brave Giant LTD,14
Double Fine Productions,14
Zloy Krot Studio,14
Microids,14
Mihai Morosanu,14
Simulators Live,14
vadimalexepta,14
Infogrames,13
Ubisoft,13
Boomzap Entertainment,13
Virtual Top,13
Educational Games,13
Tin Man Games,13
Nival,13
hallunazigames,13
Riviysky,13
Telltale Games,13
Paradox Development Studio,13
Easy game,13
Gamenesis,13
Fury Games Production,13
e-FunSoft Games,13
Real Fighting,13
City Interactive S.A.,12
Crew Lab,12
Rebellion,12
Targem Games,12
SCS Software,12
GSC Game World,12
Forever Entertainment S. A.,12
G. Malta,12
Walter Machado,12
Fabio Cunha,12
Yash Future Tech Solutions Pvt Ltd,12
RSK Entertainment,12
Totem Games,12
Playloft,12
Notus Games Ltd,11
Wolverine Studios,11
Shaman Games Studio,11
"Arcen Games, LLC",11
Amaterasu Software,11
Bmc Studio,11
"Nippon Ichi Software, Inc.",11
WayForward,11
SimProse Studios,11
Mad Head Games,11
SEGA,11
Astronomic Games,11
Blaze Epic,11
Big Ant Studios,11
WhackAKey Games,11
Tonguç Bodur,11
Anamik Majumdar,11
Frogwares,11
upjers,11
stariy8419,11
"PopCap Games, Inc.",10
Konstructors Entertainment,10
NeocoreGames,10
StarSystemStudios™,10
TSS Studio,10
Starodymov,10
Bethesda Game Studios,10
Freshtrax,10
Sunward Games,10
Whiterra,10
DIGIDICED,10
Dieselmine,10
Blue Tea Games,10
GameHouse,10
Silver Cow Studio,10
"Spike Chunsoft Co., Ltd.",10
Anarchy Enterprises,10
HandyGames,10
Urchin Games,10
magnussoft,10
Zeiva Inc,10
Kiddy,10
Dogenzaka Lab,10
dev4play,10
JoyBits Ltd.,10
ARGames,10
1C Entertainment,10
橙光游戏,10
Mikhail Melnikov,10
rokaplay,10
КиКо,10
Assemble Entertainment,9
Rainbow Games,9
Zoo Corporation,9
Sigma Team Inc.,9
EleFun Games,9
Artur Rezende,9
Stardock Entertainment,9
DotEmu,9
Crisp App Studio,9
"CINEMAX, s.r.o.",9
Google Inc.,9
PlayFirst,9
TML-Studios,9
Zachtronics,9
Firaxis Games,9
Haemimont Games,9
Matthew Brown,9
Eko Software,9
Exe Create Inc.,9
NukGames,9
Dnovel,9
07th Expansion,9
Ivanovich Games,9
ARTDINK,9
SNK CORPORATION;DotEmu,9
Straywire,9
Robert Cardona,9
Tuwi Michael Nannings,9
Techland,9
Phr00t's Software,9
ImperiumGame,9
indie_games_studio,9
Mzonestudio,9
Mia Blais-Côté,9
Dreambakers,9
milanaozdieva,9
Mykhail Konokh,8
Naarassusi Game,8
Casual.US,8
Lazy Turtle Games,8
TRIANGLE SERVICE,8
Brewsterland Studios,8
GDNomad,8
SAT-BOX,8
Nomad Games,8
Zojoi,8
Idea Factory,8
phime studio LLC,8
Crystal Dynamics,8
Perverse Games,8
Recreat4,8
Bossa Studios,8
MyDreamForever,8
Gunnar Games,8
Nadeo,8
Endless Loop Studios,8
JDRumble,8
ASTRO PORT,8
InvertMouse,8
Interplay Entertainment Corp.,8
BANDAI NAMCO Studios Inc.,8
Funcom,8
Russpuppy,8
Climax Studios,8
Jetdogs Studios;Zoom Out Games,8
Pixeljam,8
Anawiki Games,8
Traveller's Tales,8
Egosoft,8
Reality Pump Studios,8
Scott Cawthon,8
Cleverweek,8
Google,8
Hipix Studio,8
Orange_Juice,8
The House of Fables,8
VGstudio,8
Frozenbyte,8
Wastelands Interactive,8
FireFly Studios,8
Enlight Software Limited,8
Wadjet Eye Games,8
Nickervision Studios,8
Relic Entertainment,8
Absolutist Ltd.,8
3D Realms (Apogee Software),8
